drug,brands_india,indications,administration,notes,source
Paracetamol,"Calpol; Crocin; Dolo 650","Relieves mild to moderate pain and reduces fever.","Taken with or without food.","Avoid combining with other paracetamol-containing products.","PIL / pharmacy info"
Ibuprofen,"Brufen; Ibugesic","Pain, inflammation, fever.","Often after food.","May irritate stomach; caution in heart/kidney issues.","PIL / pharmacy info"
Amoxicillin,"Mox; Amoxil","Antibiotic for bacterial infections.","With or without food.","Complete full prescribed course.","PIL"
Azithromycin,"Azithral; Azimax; Azee","Antibiotic for respiratory, skin, and other infections.","Often on empty stomach.","Do not stop early.","PIL"
Cetirizine,"Cetzine; Okacet","Allergy symptoms (sneezing, itching, watery eyes).","With or without food.","May cause mild drowsiness.","PIL"
Montelukast,"Montair; Monticope; Montina","Asthma maintenance and allergic rhinitis.","Often in evening.","Not for sudden breathing issues.","PIL"
Metformin,"Glyciphage; Glycomet","Manages Type 2 diabetes.","With meals.","GI discomfort common initially.","Pharmacy monograph"
Pantoprazole,"Pantocid; Pan 40","Acidity, GERD, ulcers.","Before food.","Long-term use should be monitored.","PIL"
Omeprazole,"Omez","GERD, acidity, ulcers.","Before meals.","May cause low magnesium on long use.","PIL"
Ranitidine,"Rantac","Acidity and heartburn.","With or without food.","Use has declined due to safety concerns.","Historical monograph"
Domperidone,"Domstal; Dom DT","Nausea and vomiting.","Before food.","Cardiac safety warnings apply.","PIL"
ORS,"Electral; Pedialyte","Prevents dehydration.","Dissolve and sip gradually.","Use WHO formula.","WHO monograph"
Dicyclomine,"Cyclopam","Abdominal cramps.","With or without food.","May cause dry mouth or dizziness.","PIL"
Loperamide,"Imodium","Manages diarrhea.","With or without food.","Not for high fever or bloody stools.","PIL"
Dextromethorphan,"Durotuss; Benadryl DM","Dry cough.","With or without food.","May cause dizziness.","PIL"
Ambroxol,"Mucosolvan; Ambrolite","Productive cough (expectorant).","After meals.","Use as per leaflet.","PIL"
Levocetirizine,"Levocet; Xyzal","Allergies.","With or without food.","Less drowsy than cetirizine.","PIL"
Vitamin D3,"D-Rise; Calcirol","Vitamin D deficiency.","Varies by form.","Often with fatty foods.","PIL"
Iron-Folic Acid,"Dexorange; Folvite","Iron deficiency anemia.","After food.","May cause dark stools.","Pharmacy info"
Calcium-D3,"Shelcal","Bone health support.","After meals.","Avoid with certain antibiotics.","PIL"
Aspirin,"Ecosprin","Antiplatelet use.","After food.","May irritate stomach.","PIL"
Atorvastatin,"Atorva; Storvas","Manages cholesterol.","Any time of day.","Avoid grapefruit products.","PIL"
Losartan,"Losar; Repace","High blood pressure management.","With or without food.","Monitor kidneys as advised.","PIL"
Amlodipine,"Amlong; Amlopres","Hypertension.","With or without food.","May cause ankle swelling.","PIL"
Metoprolol,"Betaloc; MetXL","Blood pressure and heart conditions.","With food.","Do not stop abruptly.","PIL"
Hydroxyzine,"Atarax","Itching, allergies, anxiety symptoms.","With or without food.","Causes drowsiness.","PIL"
Clopidogrel,"Clopivas; Plavix","Blood thinner.","With or without food.","Bleeding risk present.","PIL"
Levothyroxine,"Thyronorm; Eltroxin","Hypothyroidism.","Empty stomach, morning.","Food affects absorption.","PIL"
Insulin,"Huminsulin; NovoRapid; Lantus","Blood sugar control.","Varies by type.","Storage instructions important.","PIL"
ORS-Zinc,"Zinconia; Electral Zinc","Used in diarrhea recovery.","Zinc after food.","Prepare ORS with clean water.","WHO monograph"
